ID,TERM,DESCRIPTION,CITATION,ATTRIBUTE_TYPE
312,B972,DFT with B972 exchange-correlation functional,"P. J. Wilson, T. J. Bradley, and D. J. Tozer, 'Hybrid exchange-correlation functional determined from thermochemical data and ab initio potentials,' J. Chem. Phys., 115 (2001) 9233-42.",method
313,BHandH,DFT with BHandH exchange-correlation functional,,method
314,BHandHLYP,DFT with BHandHLYP exchange-correlation functional,,method
315,BLYP,DFT with BLYP exchange-correlation functional,,method
316,BMK,DFT with BMK exchange-correlation functional,"A. D. Boese and J. M. L. Martin, 'Development of Density Functionals for Thermochemical Kinetics,' J. Chem. Phys., 121 (2004) 3405-16.",method
317,BP86,DFT with BP86 exchange-correlation functional,,method
318,CAM-B3LYP,DFT with CAM-B3LYP exchange-correlation functional,,method
319,DCD-BLYP,DFT with DCD-BLYP exchange-correlation functional,,method
320,DSD-PBEBP86,DFT with DSD-PBEBP86 exchange-correlation functional,,method
321,HCTH,DFT with HCTH pure functional,"A. D. Boese and N. C. Handy, 'A new parametrization of exchange-correlation generalized gradient approximation functionals,' J. Chem. Phys., 114 (2001) 5497-503.",method
322,HCTH93,DFT with HCTH93 pure functional,,method
323,HCTH147,DFT with HCTH147 pure functional,,method
324,HCTH407,DFT with HCTH407 pure functional,,method
325,HFB,DFT with HFB exchange functional,,method
326,HFS,DFT with HFS exchange functional,,method
327,HSE,DFT with HSE exchange-correlation functional,,method
328,HSE2PBE,DFT with HSE2PBE exchange-correlation functional,,method
329,HSEh1PBE,DFT with HSEh1PBE exchange-correlation functional,"T. M. Henderson, A. F. Izmaylov, G. Scalmani, and G. E. Scuseria, 'Can short-range hybrids describe long-range-dependent properties?,' J. Chem. Phys., 131 (2009) 044108.",method
330,HSEhPBE,DFT with HSEhPBE exchange-correlation functional,,method
331,KT1,DFT with KT1 exchange-correlation functional,,method
332,LB94,DFT with LB94 exchange-correlation functional,,method
333,LC-wPBE,DFT with LC-wPBE exchange-correlation functional,,method
334,LC-PBE,DFT with LC-PBE exchange-correlation functional,,method
335,LDA,DFT with LDA exchange-correlation functional,,method
336,M05,DFT with M05 exchange-correlation functional,"Y. Zhao, N. E. Schultz, and D. G. Truhlar, 'Exchange-correlation functional with broad accuracy for metallic and nonmetallic compounds, kinetics, and noncovalent interactions,' J. Chem. Phys., 123 (2005) 194101: 1-18.",method
337,M05-2X,DFT with M05-2X exchange-correlation functional,"Y. Zhao, N. E. Schultz, and D. G. Truhlar, 'Design of density functionals by combining the method of constraint satisfaction with parametrization for thermochemistry, thermochemical kinetics, and noncovalent interactions,' J. Chem. Theory and Comput., 2 (2006) 364-82.",method
338,M06,DFT with M06 exchange-correlation functional,"Y. Zhao and D. G. Truhlar, 'The M06 suite of density functionals for main group thermochemistry, thermochemical kinetics, noncovalent interactions, excited states, and transition elements: two new functionals and systematic testing of four M06-class functionals and 12 other functionals,' Theor. Chem. Acc., 120 (2008) 215-41.",method
339,M06HF,DFT with M06HF exchange-correlation functional,"Y. Zhao and D. G. Truhlar, 'Density Functional for Spectroscopy: No Long-Range Self-Interaction Error, Good Performance for Rydberg and Charge-Transfer States, and Better Performance on Average than B3LYP for Ground States,' J. Phys. Chem. A, 110 (2006) 13126-30.",method
340,M06-L,DFT with M06L pure functional,"Y. Zhao and D. G. Truhlar, 'A new local density functional for main-group thermochemistry, transition metal bonding, thermochemical kinetics, and noncovalent interactions,' J. Chem. Phys., 125 (2006) 194101.",method
341,M06-2X,DFT with M062X exchange-correlation functional,"Y. Zhao and D. G. Truhlar, 'The M06 suite of density functionals for main group thermochemistry, thermochemical kinetics, noncovalent interactions, excited states, and transition elements: two new functionals and systematic testing of four M06-class functionals and 12 other functionals,' Theor. Chem. Acc., 120 (2008) 215-41.",method
342,mPW1k,DFT with mPW1k exchange-correlation functional,,method
343,mPW1LYP,DFT with mPW1LYP exchange-correlation functional,,method
344,mPW1PBE,DFT with mPW1PBE exchange-correlation functional,,method
345,mPW1PW91,DFT with mPW1PW91 exchange-correlation functional,"C. Adamo and V. Barone, 'Exchange functionals with improved long-range behavior and adiabatic connection methods without adjustable parameters: The mPW and mPW1PW models,' J. Chem. Phys., 108 (1998) 664-75.",method
346,mPW3PBE,DFT with mPW3PBE exchange-correlation functional,,method
347,O3LYP,DFT with O3LYP exchange-correlation functional,,method
348,OLYP,DFT with OLYP exchange-correlation functional,,method
349,optB88-vdW,DFT with optB88-vdW exchange-correlation functional,,method
350,PBE,DFT with PBE exchange-correlation functional,"J. P. Perdew, K. Burke, and M. Ernzerhof, 'Generalized gradient approximation made simple,' Phys. Rev. Lett., 77 (1996) 3865-68.",method
351,PBE1PBE,DFT with PBE1PBE exchange-correlation functional,,method
352,PBEh1PBE,DFT with PBEh1PBE exchange-correlation functional,"M. Ernzerhof and J. P. Perdew, 'Generalized gradient approximation to the angle- and system-averaged exchange hole,' J. Chem. Phys., 109 (1998)",method
353,PW91,DFT with PW91 exchange-correlation functional,"J. P. Perdew, J. A. Chevary, S. H. Vosko, K. A. Jackson, M. R. Pederson, D. J. Singh, and C. Fiolhais, 'Atoms, molecules, solids, and surfaces: Applications of the generalized gradient approximation for exchange and correlation,' Phys. Rev. B, 46 (1992) 6671-87.",method
354,PW6B95,DFT with PW6B95 exchange-correlation functional,,method
355,PWPB95-D3,DFT with PWPB95-D3 exchange-correlation functional,,method
356,revPBE,DFT with revPBE exchange-correlation functional,,method
357,revTPSS,DFT with revTPSS exchange-correlation functional,"John P. Perdew, Adrienn Ruzsinszky, Gábor I. Csonka, Lucian A. Constantin, and Jianwei Sun, Erratum: Workhorse Semilocal Density Functional for Condensed Matter Physics and Quantum Chemistry' [Phys. Rev. Lett. 103, 026403 (2009)] Phys. Rev. Lett. 106 (2011) 179902(E).",method
358,revTPSS-D,DFT with revTPSS-D exchange-correlation functional,,method
359,RPA,DFT with RPA exchange-correlation functional,,method
360,RPBE,DFT with RPBE exchange-correlation functional,,method
361,S12g,DFT with S12g exchange-correlation functional,,method
362,S12h,DFT with S12h exchange-correlation functional,,method
363,SAOP,DFT with SAOP exchange-correlation functional,,method
364,SSB-D,DFT with SSB-D exchange-correlation functional,,method
365,tau-HCTH,DFT with tau-HCTH pure functional,,method
366,tHCTH,DFT with tHCTH pure functional,"A. D. Boese and N. C. Handy, 'New exchange-correlation density functionals: The role of the kinetic-energy density,' J. Chem. Phys., 116 (2002) 9559-69.",method
367,tHCTHhyb,DFT with tHCTHhyb exchange-correlation functional,,method
368,TPSSh,DFT with TPSSh exchange-correlation functional,"J. M. Tao, J. P. Perdew, V. N. Staroverov, and G. E. Scuseria, 'Climbing the density functional ladder: Nonempirical meta-generalized gradient approximation designed for molecules and solids,' Phys. Rev. Lett., 91 (2003) 146401.",method
369,VSXC,DFT with VSXC pure functional,"T. Van Voorhis and G. E. Scuseria, 'A never form for the exchange-correlation energy functional,' J. Chem. Phys., 109 (1998) 400-10.",method
370,wB97,DFT with wB97 exchange-correlation functional,,method
371,wB97X,DFT with wB97X exchange-correlation functional,,method
372,wB97XD,DFT with wB97XD exchange-correlation functional,,method
373,X3LYP,DFT with X3LYP exchange-correlation functional,"X. Xu and W. A. Goddard III, 'The X3LYP extended density functional for accurate descriptions of nonbond interactions, spin states, and thermochemical properties,' Proc. Natl. Acad. Sci. USA, 101 (2004) 2673-77.",method
374,XAlpha,DFT with XAlpha exchange functional,,method
1000,MD,All-atom molecular dynamics,,method
1001,Coarse-grain MD,Coarse-grain molecular dynamics,,method
1002,Langevin MD,Langevin molecular dynamics (include noise and friction terms),,method
1010,"Steepest descent","Steepest descent minimization method",,method
1011,"Conjugate gradient","Conjugate gradient minimization method",,method
